Let's begin networking!
 The cnn model with 2 layers are estabished.
It is about the leave-one-out validation method!



******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 64
iterations per epoch: 18
*[测试结果] 片段识别 train 敏感度：82.54%, 特异度： 67.78%, 得分： 75.16, 准确度： 75.16%, 用时: 1.12s.
*[测试结果] 片段识别 test 敏感度：83.87%, 特异度： 55.17%, 得分： 69.52, 准确度： 70.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：74.92%, 特异度： 76.83%, 得分： 75.88, 准确度： 75.87%, 用时: 1.28s.
*[测试结果] 片段识别 test 敏感度：70.97%, 特异度： 62.07%, 得分： 66.52, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：76.67%, 特异度： 74.13%, 得分： 75.4, 准确度： 75.4%, 用时: 0.99s.
*[测试结果] 片段识别 test 敏感度：70.97%, 特异度： 62.07%, 得分： 66.52, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：75.4%, 特异度： 76.35%, 得分： 75.88, 准确度： 75.87%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 65.52%, 得分： 66.63, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：80.79%, 特异度： 70.32%, 得分： 75.56, 准确度： 75.56%, 用时: 1.11s.
*[测试结果] 片段识别 test 敏感度：80.65%, 特异度： 58.62%, 得分： 69.64, 准确度： 70.0%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：90.95%, 特异度： 54.29%, 得分： 72.62, 准确度： 72.62%, 用时: 1.17s.
*[测试结果] 片段识别 test 敏感度：96.77%, 特异度： 44.83%, 得分： 70.8, 准确度： 71.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：84.76%, 特异度： 64.6%, 得分： 74.68, 准确度： 74.68%, 用时: 1.3s.
*[测试结果] 片段识别 test 敏感度：83.87%, 特异度： 55.17%, 得分： 69.52, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：68.1%, 特异度： 82.54%, 得分： 75.32, 准确度： 75.32%, 用时: 1.21s.
*[测试结果] 片段识别 test 敏感度：61.29%, 特异度： 79.31%, 得分： 70.3, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：80.48%, 特异度： 70.79%, 得分： 75.64, 准确度： 75.63%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：83.87%, 特异度： 55.17%, 得分： 69.52, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：76.98%, 特异度： 74.76%, 得分： 75.87, 准确度： 75.87%, 用时: 1.24s.
*[测试结果] 片段识别 test 敏感度：74.19%, 特异度： 58.62%, 得分： 66.41, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：57.3%, 特异度： 90.0%, 得分： 73.65, 准确度： 73.65%, 用时: 1.2s.
*[测试结果] 片段识别 test 敏感度：54.84%, 特异度： 86.21%, 得分： 70.53, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：66.67%, 特异度： 84.6%, 得分： 75.63, 准确度： 75.63%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：61.29%, 特异度： 75.86%, 得分： 68.58, 准确度： 68.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：74.13%, 特异度： 79.21%, 得分： 76.67, 准确度： 76.67%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 65.52%, 得分： 66.63, 准确度： 66.67%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：76.19%, 特异度： 76.67%, 得分： 76.43, 准确度： 76.43%, 用时: 1.29s.
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 65.52%, 得分： 66.63, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：88.89%, 特异度： 62.22%, 得分： 75.56, 准确度： 75.56%, 用时: 1.15s.
*[测试结果] 片段识别 test 敏感度：93.55%, 特异度： 44.83%, 得分： 69.19, 准确度： 70.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：68.41%, 特异度： 85.08%, 得分： 76.75, 准确度： 76.75%, 用时: 1.26s.
*[测试结果] 片段识别 test 敏感度：61.29%, 特异度： 75.86%, 得分： 68.58, 准确度： 68.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：65.08%, 特异度： 87.14%, 得分： 76.11, 准确度： 76.11%, 用时: 1.0s.
