Let's begin networking!
 The cnn model with 2 layers are estabished.

It is about the non-cross-peopled 5folds cross validation method!


******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1056
increased epoches:  40
minibatch size: 64
iterations per epoch: 15
*[测试结果] 片段识别 train 敏感度：86.45%, 特异度： 49.82%, 得分： 68.14, 准确度： 67.23%, 用时: 1.07s.
*[测试结果] 片段识别 test 敏感度：89.94%, 特异度： 44.76%, 得分： 67.35, 准确度： 71.97%, 用时: 0.2s.
*[测试结果] 片段识别 train 敏感度：87.45%, 特异度： 48.92%, 得分： 68.19, 准确度： 67.23%, 用时: 0.92s.
*[测试结果] 片段识别 test 敏感度：91.19%, 特异度： 40.95%, 得分： 66.07, 准确度： 71.21%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：70.72%, 特异度： 73.83%, 得分： 72.28, 准确度： 72.35%, 用时: 0.87s.
*[测试结果] 片段识别 test 敏感度：70.44%, 特异度： 71.43%, 得分： 70.94, 准确度： 70.83%, 用时: 0.22s.
*[测试结果] 片段识别 train 敏感度：60.56%, 特异度： 82.31%, 得分： 71.44, 准确度： 71.97%, 用时: 0.86s.
*[测试结果] 片段识别 test 敏感度：64.78%, 特异度： 80.0%, 得分： 72.39, 准确度： 70.83%, 用时: 0.21s.
*[测试结果] 片段识别 train 敏感度：69.72%, 特异度： 75.45%, 得分： 72.59, 准确度： 72.73%, 用时: 0.85s.
*[测试结果] 片段识别 test 敏感度：71.07%, 特异度： 71.43%, 得分： 71.25, 准确度： 71.21%, 用时: 0.21s.
*[测试结果] 片段识别 train 敏感度：35.66%, 特异度： 94.95%, 得分： 65.31, 准确度： 66.76%, 用时: 0.84s.
*[测试结果] 片段识别 test 敏感度：38.99%, 特异度： 94.29%, 得分： 66.64, 准确度： 60.98%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：69.92%, 特异度： 76.71%, 得分： 73.31, 准确度： 73.48%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：70.44%, 特异度： 74.29%, 得分： 72.37, 准确度： 71.97%, 用时: 0.21s.
*[测试结果] 片段识别 train 敏感度：52.79%, 特异度： 88.81%, 得分： 70.8, 准确度： 71.69%, 用时: 0.96s.
*[测试结果] 片段识别 test 敏感度：60.38%, 特异度： 85.71%, 得分： 73.05, 准确度： 70.45%, 用时: 0.28s.
*[测试结果] 片段识别 train 敏感度：60.16%, 特异度： 85.02%, 得分： 72.59, 准确度： 73.2%, 用时: 1.01s.
*[测试结果] 片段识别 test 敏感度：64.78%, 特异度： 83.81%, 得分： 74.3, 准确度： 72.35%, 用时: 0.21s.
*[测试结果] 片段识别 train 敏感度：54.98%, 特异度： 87.18%, 得分： 71.08, 准确度： 71.88%, 用时: 0.96s.
*[测试结果] 片段识别 test 敏感度：62.89%, 特异度： 86.67%, 得分： 74.78, 准确度： 72.35%, 用时: 0.21s.
*[测试结果] 片段识别 train 敏感度：79.48%, 特异度： 68.95%, 得分： 74.22, 准确度： 73.96%, 用时: 1.05s.
*[测试结果] 片段识别 test 敏感度：83.02%, 特异度： 69.52%, 得分： 76.27, 准确度： 77.65%, 用时: 0.23s.
*[测试结果] 片段识别 train 敏感度：82.27%, 特异度： 63.72%, 得分： 73.0, 准确度： 72.54%, 用时: 1.06s.
*[测试结果] 片段识别 test 敏感度：86.79%, 特异度： 59.05%, 得分： 72.92, 准确度： 75.76%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：80.08%, 特异度： 67.15%, 得分： 73.62, 准确度： 73.3%, 用时: 0.98s.
*[测试结果] 片段识别 test 敏感度：82.39%, 特异度： 67.62%, 得分： 75.0, 准确度： 76.52%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：59.56%, 特异度： 86.46%, 得分： 73.01, 准确度： 73.67%, 用时: 1.08s.
*[测试结果] 片段识别 test 敏感度：64.78%, 特异度： 82.86%, 得分： 73.82, 准确度： 71.97%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：60.16%, 特异度： 85.92%, 得分： 73.04, 准确度： 73.67%, 用时: 0.99s.
*[测试结果] 片段识别 test 敏感度：64.15%, 特异度： 82.86%, 得分： 73.5, 准确度： 71.59%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：82.67%, 特异度： 63.72%, 得分： 73.19, 准确度： 72.73%, 用时: 0.95s.
*[测试结果] 片段识别 test 敏感度：86.79%, 特异度： 58.1%, 得分： 72.45, 准确度： 75.38%, 用时: 0.24s.
*[测试结果] 片段识别 train 敏感度：81.27%, 特异度： 67.87%, 得分： 74.57, 准确度： 74.24%, 用时: 1.04s.
*[测试结果] 片段识别 test 敏感度：83.02%, 特异度： 65.71%, 得分： 74.36, 准确度： 76.14%, 用时: 0.28s.
*[测试结果] 片段识别 train 敏感度：61.95%, 特异度： 85.92%, 得分： 73.94, 准确度： 74.53%, 用时: 0.93s.
*[测试结果] 片段识别 test 敏感度：66.04%, 特异度： 79.05%, 得分： 72.55, 准确度： 71.21%, 用时: 0.22s.
*[测试结果] 片段识别 train 敏感度：60.16%, 特异度： 87.0%, 得分： 73.58, 准确度： 74.24%, 用时: 0.99s.
*[测试结果] 片段识别 test 敏感度：63.52%, 特异度： 81.9%, 得分： 72.71, 准确度： 70.83%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：48.61%, 特异度： 91.88%, 得分： 70.25, 准确度： 71.31%, 用时: 0.83s.
*[测试结果] 片段识别 test 敏感度：54.72%, 特异度： 92.38%, 得分： 73.55, 准确度： 69.7%, 用时: 0.2s.
*[测试结果] 片段识别 train 敏感度：67.73%, 特异度： 83.57%, 得分： 75.65, 准确度： 76.04%, 用时: 0.9s.
