Let's begin networking!
 The cnn model with 2 layers is estabished.
It is about the leave-one-out validation method!

Path Mark: content-2nditeration.json




******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 32
iterations per epoch: 36
*[测试结果] 片段识别 train 敏感度：85.07%, 特异度： 76.99%, 得分： 81.03, 准确度： 81.11%, 用时: 1.08s.
*[测试结果] 片段识别 test 敏感度：80.65%, 特异度： 51.72%, 得分： 66.19, 准确度： 66.67%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：79.78%, 特异度： 82.01%, 得分： 80.9, 准确度： 80.87%, 用时: 1.19s.
*[测试结果] 片段识别 test 敏感度：77.42%, 特异度： 58.62%, 得分： 68.02, 准确度： 68.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：75.89%, 特异度： 87.2%, 得分： 81.55, 准确度： 81.43%, 用时: 1.27s.
*[测试结果] 片段识别 test 敏感度：74.19%, 特异度： 65.52%, 得分： 69.85, 准确度： 70.0%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：82.89%, 特异度： 81.04%, 得分： 81.97, 准确度： 81.98%, 用时: 1.16s.
*[测试结果] 片段识别 test 敏感度：83.87%, 特异度： 51.72%, 得分： 67.8, 准确度： 68.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：74.03%, 特异度： 88.98%, 得分： 81.5, 准确度： 81.35%, 用时: 1.28s.
*[测试结果] 片段识别 test 敏感度：70.97%, 特异度： 72.41%, 得分： 71.69, 准确度： 71.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：84.45%, 特异度： 78.12%, 得分： 81.28, 准确度： 81.35%, 用时: 1.08s.
*[测试结果] 片段识别 test 敏感度：90.32%, 特异度： 48.28%, 得分： 69.3, 准确度： 70.0%, 用时: 0.06s.
The best metric (without restriction) took place in the epoch:  2
Sensitivity: 67.74; Specificity: 86.21; Score: 76.97; Accuracy: 76.67
Training duration: 5.68s


Path Mark: content-2nditeration.json




******************************************************************************************
                                         CNN_2
                                        fold_2
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 32
iterations per epoch: 35
*[测试结果] 片段识别 train 敏感度：9.73%, 特异度： 98.88%, 得分： 54.3, 准确度： 53.81%, 用时: 1.06s.
*[测试结果] 片段识别 test 敏感度：5.41%, 特异度： 91.3%, 得分： 48.35, 准确度： 38.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：11.62%, 特异度： 99.04%, 得分： 55.33, 准确度： 54.84%, 用时: 1.11s.
*[测试结果] 片段识别 test 敏感度：5.41%, 特异度： 86.96%, 得分： 46.18, 准确度： 36.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：93.09%, 特异度： 44.62%, 得分： 68.86, 准确度： 69.13%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：83.78%, 特异度： 56.52%, 得分： 70.15, 准确度： 73.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：63.42%, 特异度： 86.84%, 得分： 75.13, 准确度： 75.0%, 用时: 1.08s.
*[测试结果] 片段识别 test 敏感度：43.24%, 特异度： 78.26%, 得分： 60.75, 准确度： 56.67%, 用时: 0.07s.
